experiment_id,phase,method,architecture_change,selection_status,best_epoch,runtime_seconds,median_composite,median_rq_mae_nm,median_ssim,median_psd_log_distance,median_descriptor_mae_z,median_diversity_ratio,condition_win_fraction,condition_margin,exact_training_identity_count,notes
val_retrieval,validation,nearest_rheed_retrieval,pre-existing baseline,baseline,,,8.819756,1.212473,0.006913,0.511086,1.093068,0.000000,,,3,"Copies the selected training AFM exactly; identity count equals validation-group count."
val_unconditional,validation,unconditional_train_mean,pre-existing baseline,baseline,,,7.869246,1.309235,0.003764,0.864249,1.487813,0.000000,,,0,"Single training-mean unit-Rq map; no conditional variation."
v1_cvae,validation,rheed_conditional_cvae,bottleneck condition only,rejected,50,54.98,6.508164,1.519301,0.015522,0.692114,2.735460,0.146085,0.666667,0.008677,0,"Genuine generation and lower composite than baselines, but severe diversity collapse."
v2_film,validation,rheed_conditional_cvae,four-scale FiLM plus weak diversity/condition hinges,rejected,110,128.48,6.387709,1.519301,0.005998,0.673658,2.626099,0.148017,0.666667,0.120239,0,"Condition control improved; diversity remained collapsed."
v3_diverse,validation,rheed_conditional_cvae,FiLM plus strong diversity hinge,rejected,80,105.24,6.364825,1.519301,0.034577,0.573319,2.728578,0.598876,0.333333,-0.013254,0,"Best validation morphology but failed the predeclared condition-control gate."
v4_balanced,validation,rheed_conditional_cvae,strong diversity and strong condition hinges,rejected,75,101.20,7.306485,1.519301,0.003072,0.668604,2.523533,0.765639,0.666667,0.107317,0,"Passed gates but had worse validation morphology composite."
v5_tradeoff,validation,rheed_conditional_cvae,strong diversity plus intermediate condition hinge,selected_and_frozen,65,93.16,6.500014,1.519301,0.011164,0.686376,2.701856,0.875325,1.000000,0.096648,0,"Passed all validation gates and had the lowest composite among passing models."
test_retrieval,test,nearest_rheed_retrieval,frozen baseline,final_test,,,8.507626,5.774769,0.017607,0.424242,1.708296,0.000000,,,5,"Exact training-image reuse by design."
test_unconditional,test,unconditional_train_mean,frozen baseline,final_test,,,7.518120,1.000001,0.037899,0.846604,1.471393,0.000000,,,0,"No conditioning and no diversity."
test_v5,test,rheed_conditional_cvae,frozen v5 checkpoint,final_test,65,93.16,6.247979,0.822411,0.006722,0.396136,2.712540,0.676370,0.200000,-0.011399,0,"One-time held-out evaluation; morphology aggregate improved, but conditional negative control failed."
