path	size_bytes	sha256	ignored	category	proposed_action	external_backup_path	notes
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/README.md	1260	d650edc884336b4983ee81fff7075299ffb9dc3eeebfad662ae2fd14056f6b5b	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/all_scan_previews/N6324_all_scans_second_order.png	441297	5e3aaa14eda75168b0c23aeee83ce5f26fe2ac7e3492de65a6ffc4d881caf8b9	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/all_scan_previews/N6342_all_scans_second_order.png	550197	83d1747d3803119735acb9419f35c7d3f5fa0f07e5a93730a689119c711149c3	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/all_scan_previews/N6358_all_scans_second_order.png	530130	97a98793ea1a0223bcc9e55720f048ec702e1f7479013829f96dc974af5c090a	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/all_scan_previews/N6382_all_scans_second_order.png	581974	272cb77a49a9069861b8268f415decbcde59c09e7f13456511e4383c019729ea	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/all_scan_previews/N6389_all_scans_second_order.png	628222	539c2270fe474e8d3753a35b6e667f143c522adb071dbf82338ebdfc556d1050	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/manifests/afm_extra_five_sample_level_ground_truth.csv	3901	f46e8ed9c9c7da395c0edce1a911716a44590b2ade8730130cdd91090614a812	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/manifests/afm_extra_five_second_order_scan_manifest.csv	15479	d13f84b20b6d8ac5e4a711184cb562bbb7eaabe1f547d613fd41b846fdb46d4b	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/manifests/full_cohort_prediction_vs_afm_truth_join.csv	8993	bd90d83908b09873b21e279418aa46841065154297b9b6e0fcc6cce666a8e688	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/manifests/sample_id_mismatch_report.json	523	976a46ee1b879b5d777473080b6136bbcd29702bc3a6346f1ebffa342dd665a4	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/representative_maps/N6324_ground_truth_second_order_representative.png	232801	ef3c2817e77bc83cfe3d87453fe40454c3d3578a92697aa4f49024f7235a13cb	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/representative_maps/N6342_ground_truth_second_order_representative.png	252064	ba24b026596e6196d468725e1e7ebcec48ce29c6a0a79ad0e7505bc398032ac2	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/representative_maps/N6358_ground_truth_second_order_representative.png	222634	cc38618a0666edb07e15cfa3e9d3c00f4ff18b15ac7d5d0cd40376dd6974752c	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/representative_maps/N6382_ground_truth_second_order_representative.png	255393	adc70208ebe4aa64f9d670dc949e5ea06154bd2c38a7e5b57db36751be67ae7b	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
publication_freeze/prospective_unseen_single_frame_v1/ground_truth_afm/representative_maps/N6389_ground_truth_second_order_representative.png	232549	08de3e473bde642e9aec9699c0634680f60caeb4215b2566e40647c025ffd1d6	no	KEEP_IMMUTABLE_CANONICAL	KEEP		Includes tracked and untracked prospective ground_truth_afm evidence; do not edit.
reports/publication_freeze_technical_experiment_report_2026-07-22.md	26895	7a4d93b44c927c173cb5c1b0edef2a9b27ad41761ba4a2ec80471b4fabf9e989	no	UNKNOWN_KEEP	KEEP		
reports/publication_freeze_technical_report_stats_2026-07-22.json	13096	4915392d28315e03f45d5751d5954cbe83aff614afa6cd7ba4530f440ec63a77	no	UNKNOWN_KEEP	KEEP		
